platform,rank,cover_img,title,artist,playtime
지니,96,https://cdn.chartin.me/image/album/genie/83932963.jpg?v=1709284116991&size=80,Steal The Show,Lauv,3:13
지니,97,https://cdn.chartin.me/image/album/genie/82759659.jpg?v=1709284111458&size=80,Summer (Feat. BE'O (비오)),Paul Blanco,3:20
지니,98,https://cdn.chartin.me/image/album/genie/84157291.jpg?v=1709284117735&size=80,Bubble,STAYC (스테이씨),2:59
지니,99,https://cdn.chartin.me/image/album/genie/81545399.jpg?v=1709284106563&size=80,Dynamite,방탄소년단,3:19
지니,100,https://cdn.chartin.me/image/album/genie/82602752.jpg?v=1709284110149&size=80,내가 아니라도,주호,4:08
FLO,1,https://cdn.chartin.me/image/album/flo/422064961.jpg?v=1707818644482&size=80,밤양갱,비비 (BIBI),2:26
FLO,2,https://cdn.music-flo.com/image/v2/album/559/743/20/04/420743559_65aa1cb4_s.jpg?1705647285716%2Fdims%2Fresize%2F1000x1000%2Fquality%2F90=&size=80,첫 만남은 계획대로 되지 않아,TWS (투어스),2:32
FLO,3,https://cdn.chartin.me/image/album/flo/421442441.jpg?v=1708419856426&size=80,Love wins all,아이유 (IU),4:31
FLO,4,https://cdn.chartin.me/image/album/flo/422163532.jpg?v=1708333664417&size=80,EASY,LE SSERAFIM (르세라핌),2:44
FLO,5,https://cdn.music-flo.com/image/v2/album/834/303/21/04/421303834_65b75a24_s.jpg?1706514981658%2Fdims%2Fresize%2F1000x1000%2Fquality%2F90=&size=80,나는 아픈 건 딱 질색이니까,(여자)아이들,2:41
FLO,6,https://cdn.chartin.me/image/album/flo/421442441.jpg?v=1708419856426&size=80,홀씨,아이유 (IU),3:10
FLO,7,https://cdn.chartin.me/image/album/flo/419521664.jpg?v=1701075991180&size=80,To. X,태연 (TAEYEON),2:50
